p1,p2,p3,n1,n2,n3
0.035047,0.049191,0.048741,0.052381,0.050562,0.04164
0.049191,0.048741,0.052381,0.050562,0.04164,0.044648
0.048741,0.052381,0.050562,0.04164,0.044648,0.050019
0.052381,0.050562,0.04164,0.044648,0.050019,0.04834
0.050562,0.04164,0.044648,0.050019,0.04834,0.047665
0.04164,0.044648,0.050019,0.04834,0.047665,0.035949
0.044648,0.050019,0.04834,0.047665,0.035949,0.034676
0.050019,0.04834,0.047665,0.035949,0.034676,0.034059
0.04834,0.047665,0.035949,0.034676,0.034059,0.034408
0.047665,0.035949,0.034676,0.034059,0.034408,0.039091
0.035949,0.034676,0.034059,0.034408,0.039091,0.053755
0.034676,0.034059,0.034408,0.039091,0.053755,0.045275
0.034059,0.034408,0.039091,0.053755,0.045275,0.050323
0.034408,0.039091,0.053755,0.045275,0.050323,0.042882
0.039091,0.053755,0.045275,0.050323,0.042882,0.042781
0.053755,0.045275,0.050323,0.042882,0.042781,0.045225
0.045275,0.050323,0.042882,0.042781,0.045225,0.052095
0.050323,0.042882,0.042781,0.045225,0.052095,0.04719
0.042882,0.042781,0.045225,0.052095,0.04719,0.066832
0.042781,0.045225,0.052095,0.04719,0.066832,0.049665
0.045225,0.052095,0.04719,0.066832,0.049665,0.040659
0.052095,0.04719,0.066832,0.049665,0.040659,0.045855
0.04719,0.066832,0.049665,0.040659,0.045855,0.040392
0.066832,0.049665,0.040659,0.045855,0.040392,0.043463
0.049665,0.040659,0.045855,0.040392,0.043463,0.041838
0.040659,0.045855,0.040392,0.043463,0.041838,0.047428
0.045855,0.040392,0.043463,0.041838,0.047428,0.0525
0.040392,0.043463,0.041838,0.047428,0.0525,0.0478
0.043463,0.041838,0.047428,0.0525,0.0478,0.042537
0.041838,0.047428,0.0525,0.0478,0.042537,0.045055
0.047428,0.0525,0.0478,0.042537,0.045055,0.035378
0.0525,0.0478,0.042537,0.045055,0.035378,0.047425
0.0478,0.042537,0.045055,0.035378,0.047425,0.04143
0.042537,0.045055,0.035378,0.047425,0.04143,0.046212
0.045055,0.035378,0.047425,0.04143,0.046212,0.037641
0.035378,0.047425,0.04143,0.046212,0.037641,0.041181
0.047425,0.04143,0.046212,0.037641,0.041181,0.065487
0.04143,0.046212,0.037641,0.041181,0.065487,0.04443
0.046212,0.037641,0.041181,0.065487,0.04443,0.039374
0.037641,0.041181,0.065487,0.04443,0.039374,0.036611
0.041181,0.065487,0.04443,0.039374,0.036611,0.041451
0.065487,0.04443,0.039374,0.036611,0.041451,0.038099
0.04443,0.039374,0.036611,0.041451,0.038099,0.041802
0.039374,0.036611,0.041451,0.038099,0.041802,0.030783
0.036611,0.041451,0.038099,0.041802,0.030783,0.034426
0.041451,0.038099,0.041802,0.030783,0.034426,0.037941
0.038099,0.041802,0.030783,0.034426,0.037941,0.034126
0.041802,0.030783,0.034426,0.037941,0.034126,0.032361
0.030783,0.034426,0.037941,0.034126,0.032361,0.04039
0.034426,0.037941,0.034126,0.032361,0.04039,0.027334
0.037941,0.034126,0.032361,0.04039,0.027334,0.027667
0.034126,0.032361,0.04039,0.027334,0.027667,0.027273
0.032361,0.04039,0.027334,0.027667,0.027273,0.031773
0.04039,0.027334,0.027667,0.027273,0.031773,0.02527
0.027334,0.027667,0.027273,0.031773,0.02527,0.024688
0.027667,0.027273,0.031773,0.02527,0.024688,0.02718
